modelo,nivel,banco,protocolo,semillas,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.0,texto_formacion,directo,3,0.125,0.6999999999999998,0.17499999999999996,0.0,0.0,1.0,1.0,1.0,0.0
azar,0.0,texto_formacion,encadenado,3,0.125,0.6999999999999998,0.17499999999999996,0.0,0.0,1.0,1.0,1.0,0.0
azar,0.0,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,1.0,1.0,0.0
azar,0.0,texto_reservado,directo,3,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1.0,1.0,0.0
azar,0.0,texto_reservado,encadenado,3,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1.0,1.0,0.0
azar,0.0,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,1.0,1.0,0.0
azar,0.0,imagen_test,directo,3,0.10234375,0.8976562500000002,0.0,nan,0.0,1.0,1.0,1.0,0.0
azar,0.0,imagen_test,encadenado,3,0.10234375,0.8976562500000002,0.0,nan,0.0,1.0,1.0,1.0,0.0
azar,0.0,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,1.0,1.0,0.0
azar,0.015625,texto_formacion,directo,3,0.3357638888888889,0.43263888888888896,0.23159722222222223,0.13004177192382507,0.0,1.0,0.8568620984648124,6.5,0.6878376919587518
azar,0.015625,texto_formacion,encadenado,3,0.6692708333333334,0.0,0.3307291666666667,0.0,1.1055555555555554,nan,0.8568620984648124,6.5,0.6878376919587518
azar,0.015625,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.8568620984648124,6.5,0.6878376919587518
azar,0.015625,texto_reservado,directo,3,0.27436647173489276,0.6242690058479532,0.10136452241715399,0.08432455107646923,0.0,1.0,0.8568620984648124,6.5,0.6878376919587518
azar,0.015625,texto_reservado,encadenado,3,0.7926413255360624,0.0,0.20735867446393763,0.0,1.8693957115009745,nan,0.8568620984648124,6.5,0.6878376919587518
azar,0.015625,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.8568620984648124,6.5,0.6878376919587518
azar,0.015625,imagen_test,directo,3,0.10234375,0.8976562500000002,0.0,nan,0.0,1.0,0.8246317558795594,7.208333333333333,0.715520233828598
azar,0.015625,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,3.5553435114503813,8.0,0.8246317558795594,7.208333333333333,0.715520233828598
azar,0.015625,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.8246317558795594,7.208333333333333,0.715520233828598
azar,0.03125,texto_formacion,directo,3,0.44131944444444443,0.3168402777777778,0.24184027777777775,0.25649729862720694,0.0,1.0,0.7578796507338187,7.5,1.09719441092346
azar,0.03125,texto_formacion,encadenado,3,0.7126736111111112,0.0,0.2873263888888889,0.0,0.8241319444444445,nan,0.7578796507338187,7.5,1.09719441092346
azar,0.03125,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.7578796507338187,7.5,1.09719441092346
azar,0.03125,texto_reservado,directo,3,0.34088693957115007,0.547514619883041,0.11159844054580896,0.18188919322348304,0.0,1.0,0.7578796507338187,7.5,1.09719441092346
azar,0.03125,texto_reservado,encadenado,3,0.8099415204678362,0.0,0.19005847953216373,0.0,1.568469785575049,nan,0.7578796507338187,7.5,1.09719441092346
azar,0.03125,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.7578796507338187,7.5,1.09719441092346
azar,0.03125,imagen_test,directo,3,0.10234375,0.8976562500000002,0.0,nan,0.0,1.0,0.7001126042883018,7.791666666666667,1.167852065916942
azar,0.03125,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,3.5104961832061066,8.0,0.7001126042883018,7.791666666666667,1.167852065916942
azar,0.03125,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.7001126042883018,7.791666666666667,1.167852065916942
azar,0.0625,texto_formacion,directo,3,0.5868055555555556,0.20885416666666667,0.20434027777777777,0.22855866336342054,0.0,1.0,0.6032380105478462,7.958333333333333,1.6619491766415662
azar,0.0625,texto_formacion,encadenado,3,0.7723958333333334,0.0,0.2276041666666667,0.0,0.4399305555555555,nan,0.6032380105478462,7.958333333333333,1.6619491766415662
azar,0.0625,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.6032380105478462,7.958333333333333,1.6619491766415662
azar,0.0625,texto_reservado,directo,3,0.4337231968810917,0.43689083820662766,0.12938596491228072,0.2451890806672452,0.0,1.0,0.6032380105478462,7.958333333333333,1.6619491766415662
azar,0.0625,texto_reservado,encadenado,3,0.8089668615984406,0.0,0.19103313840155944,0.0,1.1038011695906433,nan,0.6032380105478462,7.958333333333333,1.6619491766415662
azar,0.0625,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.6032380105478462,7.958333333333333,1.6619491766415662
azar,0.0625,imagen_test,directo,3,0.10416666666666667,0.8958333333333334,0.0,nan,0.0,1.0,0.5264690795093102,8.0,1.7203012497380665
azar,0.0625,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,3.527035623409669,8.0,0.5264690795093102,8.0,1.7203012497380665
azar,0.0625,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.5264690795093102,8.0,1.7203012497380665
azar,0.125,texto_formacion,directo,3,0.7604166666666666,0.08385416666666666,0.15572916666666667,0.24930885397637315,0.0,1.0,0.40320182320582804,8.0,2.274857752250037
azar,0.125,texto_formacion,encadenado,3,0.8385416666666666,0.0,0.16145833333333334,0.0,0.11631944444444442,nan,0.40320182320582804,8.0,2.274857752250037
azar,0.125,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.40320182320582804,8.0,2.274857752250037
azar,0.125,texto_reservado,directo,3,0.6464424951267057,0.22465886939571153,0.12889863547758285,0.3172055434093508,0.0,1.0,0.40320182320582804,8.0,2.274857752250037
azar,0.125,texto_reservado,encadenado,3,0.8452729044834308,0.0,0.15472709551656919,0.0,0.3842592592592593,nan,0.40320182320582804,8.0,2.274857752250037
azar,0.125,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.40320182320582804,8.0,2.274857752250037
azar,0.125,imagen_test,directo,3,0.12864583333333332,0.8713541666666668,0.0,nan,0.0,1.0,0.33886611200860983,8.0,2.2763918016271867
azar,0.125,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,3.288167938931297,8.0,0.33886611200860983,8.0,2.2763918016271867
azar,0.125,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.33886611200860983,8.0,2.2763918016271867
azar,0.25,texto_formacion,directo,3,0.8720486111111111,0.02621527777777778,0.1017361111111111,0.2613458206733356,0.0,1.0,0.24390125496895573,8.0,2.7067362262303583
azar,0.25,texto_formacion,encadenado,3,0.8970486111111112,0.0,0.10295138888888888,0.0,0.03836805555555552,nan,0.24390125496895573,8.0,2.7067362262303583
azar,0.25,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.24390125496895573,8.0,2.7067362262303583
azar,0.25,texto_reservado,directo,3,0.8218810916179337,0.0769980506822612,0.10112085769980507,0.24655853592080165,0.0,1.0,0.24390125496895573,8.0,2.7067362262303583
azar,0.25,texto_reservado,encadenado,3,0.8935185185185185,0.0,0.10648148148148147,0.0,0.10038986354775825,nan,0.24390125496895573,8.0,2.7067362262303583
azar,0.25,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.24390125496895573,8.0,2.7067362262303583
azar,0.25,imagen_test,directo,3,0.3236979166666667,0.6763020833333333,0.0,nan,0.0,1.0,0.19316120826672442,8.0,2.7159471228788363
azar,0.25,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,1.8734096692111961,8.0,0.19316120826672442,8.0,2.7159471228788363
azar,0.25,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.19316120826672442,8.0,2.7159471228788363
azar,0.5,texto_formacion,directo,3,0.9359375,0.003472222222222222,0.06059027777777778,0.24606768986786828,0.0,1.0,0.12195728307514873,8.0,2.931140655237447
azar,0.5,texto_formacion,encadenado,3,0.9392361111111112,0.0,0.06076388888888889,0.0,0.004513888888888928,nan,0.12195728307514873,8.0,2.931140655237447
azar,0.5,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.12195728307514873,8.0,2.931140655237447
azar,0.5,texto_reservado,directo,3,0.9198343079922027,0.01145224171539961,0.06871345029239766,0.2698123220919573,0.0,1.0,0.12195728307514873,8.0,2.931140655237447
azar,0.5,texto_reservado,encadenado,3,0.9298245614035089,0.0,0.07017543859649122,0.0,0.014132553606237774,nan,0.12195728307514873,8.0,2.931140655237447
azar,0.5,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.12195728307514873,8.0,2.931140655237447
azar,0.5,imagen_test,directo,3,0.6208333333333332,0.3791666666666667,0.0,nan,0.0,1.0,0.09423779773241346,8.0,2.9444942355227526
azar,0.5,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,0.4958651399491094,8.0,0.09423779773241346,8.0,2.9444942355227526
azar,0.5,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.09423779773241346,8.0,2.9444942355227526
azar,1.0,texto_formacion,directo,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.0,8.0,2.9873168749798054
azar,1.0,texto_formacion,encadenado,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.0,8.0,2.9873168749798054
azar,1.0,texto_formacion,pizarron,3,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.0,8.0,2.9873168749798054
azar,1.0,texto_reservado,directo,3,0.935672514619883,0.0,0.06432748538011696,0.2727272727272727,0.0,nan,0.0,8.0,2.9873168749798054
azar,1.0,texto_reservado,encadenado,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.0,8.0,2.9873168749798054
azar,1.0,texto_reservado,pizarron,3,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.0,8.0,2.9873168749798054
azar,1.0,imagen_test,directo,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.0,8.0,3.0
azar,1.0,imagen_test,encadenado,3,0.81875,0.18125,0.0,nan,0.0,8.0,0.0,8.0,3.0
azar,1.0,imagen_test,pizarron,3,0.81875,0.18125,0.0,nan,0.0,1.0,0.0,8.0,3.0
anillo,0,texto_formacion,directo,1,0.125,0.7,0.175,0.0,0.0,1.0,1.0,1.0,0.0
anillo,0,texto_formacion,encadenado,1,0.125,0.7,0.175,0.0,0.0,1.0,1.0,1.0,0.0
anillo,0,texto_formacion,pizarron,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,1.0,1.0,0.0
anillo,0,texto_reservado,directo,1,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1.0,1.0,0.0
anillo,0,texto_reservado,encadenado,1,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1.0,1.0,0.0
anillo,0,texto_reservado,pizarron,1,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,1.0,1.0,0.0
anillo,0,imagen_test,directo,1,0.10234375,0.89765625,0.0,nan,0.0,1.0,1.0,1.0,0.0
anillo,0,imagen_test,encadenado,1,0.10234375,0.89765625,0.0,nan,0.0,1.0,1.0,1.0,0.0
anillo,0,imagen_test,pizarron,1,0.81875,0.18125,0.0,nan,0.0,1.0,1.0,1.0,0.0
anillo,1,texto_formacion,directo,1,0.3697916666666667,0.3875,0.24270833333333333,0.0,0.0,1.0,0.8000612752775128,3.0,1.5744789928446932
anillo,1,texto_formacion,encadenado,1,0.6484375,0.0,0.3515625,0.0,0.9526041666666667,nan,0.8000612752775128,3.0,1.5744789928446932
anillo,1,texto_formacion,pizarron,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.8000612752775128,3.0,1.5744789928446932
anillo,1,texto_reservado,directo,1,0.36622807017543857,0.4685672514619883,0.1652046783625731,0.01327433628318584,0.0,1.0,0.8000612752775128,3.0,1.5744789928446932
anillo,1,texto_reservado,encadenado,1,0.7390350877192983,0.0,0.26096491228070173,0.0,1.2719298245614037,nan,0.8000612752775128,3.0,1.5744789928446932
anillo,1,texto_reservado,pizarron,1,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.8000612752775128,3.0,1.5744789928446932
anillo,1,imagen_test,directo,1,0.30703125,0.69296875,0.0,nan,0.0,1.0,0.8000928107021504,3.0,1.584962500721156
anillo,1,imagen_test,encadenado,1,0.81875,0.18125,0.0,nan,1.8902671755725189,8.0,0.8000928107021504,3.0,1.584962500721156
anillo,1,imagen_test,pizarron,1,0.81875,0.18125,0.0,nan,0.0,1.0,0.8000928107021504,3.0,1.584962500721156
anillo,2,texto_formacion,directo,1,0.6114583333333333,0.16041666666666668,0.228125,0.0,0.0,1.0,0.5799528219703501,5.0,2.3100769866964357
anillo,2,texto_formacion,encadenado,1,0.753125,0.0,0.246875,0.0,0.2718750000000001,nan,0.5799528219703501,5.0,2.3100769866964357
anillo,2,texto_formacion,pizarron,1,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,0.5799528219703501,5.0,2.3100769866964357
anillo,2,texto_reservado,directo,1,0.6001461988304093,0.22807017543859648,0.17178362573099415,0.03829787234042553,0.0,1.0,0.5799528219703501,5.0,2.3100769866964357
anillo,2,texto_reservado,encadenado,1,0.8084795321637427,0.0,0.1915204678362573,0.0,0.3771929824561404,nan,0.5799528219703501,5.0,2.3100769866964357
anillo,2,texto_reservado,pizarron,1,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,0.5799528219703501,5.0,2.3100769866964357
anillo,2,imagen_test,directo,1,0.51171875,0.48828125,0.0,nan,0.0,1.0,0.5799998131656853,5.0,2.321928094887362
anillo,2,imagen_test,encadenado,1,0.81875,0.18125,0.0,nan,0.6383587786259541,8.0,0.5799998131656853,5.0,2.321928094887362
