modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.015625,42,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.5763358778625953,8.0,1280,0.8265203536360334,7.25,0.7085543485392811
azar,0.015625,42,imagen_test,agregado,0.74296875,0.25703125,0.0,nan,6.275499474237645,7.17629179331307,1280,0.8265203536360334,7.25,0.7085543485392811
azar,0.015625,42,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.8265203536360334,7.25,0.7085543485392811
azar,0.015625,43,texto_formacion,directo,0.3609375,0.40989583333333335,0.22916666666666666,0.13636363636363635,0.0,1.0,1920,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_formacion,encadenado,0.6692708333333334,0.0,0.3307291666666667,0.0,0.9947916666666667,nan,1920,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_formacion,agregado,0.8135416666666667,0.024479166666666666,0.16197916666666667,0.0,5.938601174586226,4.340425531914893,1920,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_reservado,directo,0.27850877192982454,0.6038011695906432,0.11769005847953216,0.09937888198757763,0.0,1.0,1368,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_reservado,encadenado,0.7317251461988304,0.0,0.2682748538011696,0.0,1.7733918128654973,nan,1368,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_reservado,agregado,0.8508771929824561,0.05847953216374269,0.09064327485380116,0.0,6.020962732919255,4.525,1368,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.842957874808785,6.875,0.7419123820792363
azar,0.015625,43,imagen_test,directo,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,0.8017793836459466,7.25,0.7893825386269133
azar,0.015625,43,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.554389312977099,8.0,1280,0.8017793836459466,7.25,0.7893825386269133
azar,0.015625,43,imagen_test,agregado,0.7390625,0.2609375,0.0,nan,6.38477801268499,6.868263473053892,1280,0.8017793836459466,7.25,0.7893825386269133
azar,0.015625,43,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.8017793836459466,7.25,0.7893825386269133
azar,0.015625,44,texto_formacion,directo,0.31145833333333334,0.4322916666666667,0.25625,0.1443089430894309,0.0,1.0,1920,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,texto_formacion,encadenado,0.6364583333333333,0.0,0.36354166666666665,0.0,1.1192708333333332,nan,1920,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,texto_formacion,agregado,0.8041666666666667,0.04895833333333333,0.146875,0.0,5.428806133625411,5.329787234042553,1920,0.8751902435263277,6.375,0.6286817023048092
azar,0.015625,44,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.8751902435263277,6.375,0.6286817023048092
