fraccion,agente,dominio,propio,registros_directorio,reconocido,acierto_clf,ratio_centroide
0.0078125,dog,pear,False,134,1.0,1.0,0.45232799649238586
0.0078125,dog,tomato,False,134,1.0,1.0,0.3811758756637573
0.0078125,horse,apple,False,132,0.0,nan,nan
0.0078125,horse,car,False,132,1.0,1.0,0.22718912363052368
0.0078125,horse,cow,False,132,1.0,1.0,0.2909155488014221
0.0078125,horse,cup,False,132,1.0,1.0,0.6470271944999695
0.0078125,horse,dog,False,132,0.0,nan,nan
0.0078125,horse,horse,True,132,1.0,1.0,0.3614971160888672
0.0078125,horse,pear,False,132,0.0,nan,nan
0.0078125,horse,tomato,False,132,1.0,1.0,0.22829410433769226
0.0078125,pear,apple,False,135,0.0,nan,nan
0.0078125,pear,car,False,135,0.0,nan,nan
0.0078125,pear,cow,False,135,1.0,1.0,0.3316622912883759
0.0078125,pear,cup,False,135,1.0,1.0,0.45818527340888976
0.0078125,pear,dog,False,135,0.0,nan,nan
0.0078125,pear,horse,False,135,1.0,1.0,0.3852263391017914
0.0078125,pear,pear,True,135,1.0,1.0,0.3572925865650177
0.0078125,pear,tomato,False,135,1.0,1.0,0.2605238690972328
0.0078125,tomato,apple,False,136,0.0,nan,nan
0.0078125,tomato,car,False,136,1.0,1.0,0.5223453044891357
0.0078125,tomato,cow,False,136,0.0,nan,nan
0.0078125,tomato,cup,False,136,1.0,1.0,0.517311516404152
0.0078125,tomato,dog,False,136,1.0,1.0,0.4062049388885498
0.0078125,tomato,horse,False,136,1.0,1.0,0.46002575755119324
0.0078125,tomato,pear,False,136,1.0,1.0,0.33154070377349854
0.0078125,tomato,tomato,True,136,1.0,1.0,0.3682539641857147
0.015625,apple,apple,True,145,1.0,1.0,0.3652963310480118
0.015625,apple,car,False,145,1.0,1.0,0.4325940251350403
0.015625,apple,cow,False,145,1.0,1.0,0.32407432794570923
0.015625,apple,cup,False,145,1.0,1.0,0.5252847075462341
0.015625,apple,dog,False,145,1.0,1.0,0.4450816631317139
0.015625,apple,horse,False,145,1.0,1.0,0.2725563943386078
0.015625,apple,pear,False,145,1.0,1.0,0.34819666743278505
0.015625,apple,tomato,False,145,1.0,1.0,0.43905588090419767
0.015625,car,apple,False,139,1.0,1.0,0.45549121499061584
0.015625,car,car,True,139,1.0,1.0,0.4531186044216156
0.015625,car,cow,False,139,1.0,1.0,0.25757938623428345
0.015625,car,cup,False,139,1.0,1.0,0.35299466252326966
0.015625,car,dog,False,139,1.0,1.0,0.393746942281723
0.015625,car,horse,False,139,1.0,1.0,0.3487594723701477
0.015625,car,pear,False,139,1.0,1.0,0.29180033802986144
0.015625,car,tomato,False,139,1.0,1.0,0.3807633936405182
0.015625,cow,apple,False,144,1.0,1.0,0.24613939225673676
0.015625,cow,car,False,144,1.0,1.0,0.5219980686903
0.015625,cow,cow,True,144,1.0,1.0,0.31087576746940615
0.015625,cow,cup,False,144,1.0,1.0,0.38940303921699526
0.015625,cow,dog,False,144,1.0,1.0,0.4665311574935913
0.015625,cow,horse,False,144,1.0,1.0,0.38553136885166167
0.015625,cow,pear,False,144,1.0,1.0,0.39334587156772616
0.015625,cow,tomato,False,144,1.0,1.0,0.4224475622177124
